Unternehmen,Place ID,Direkter Bewertungslink,Google Maps Link,Status
Antalya Pizza & Kebaphaus,ChIJ6cJ5X1sGl0cR-urX9vFvO-o,https://search.google.com/local/writereview?placeid=ChIJ6cJ5X1sGl0cR-urX9vFvO-o,https://www.google.com/maps/search/?api=1&query=Antalya%20Pizza%20%26%20Kebaphaus&query_place_id=ChIJ6cJ5X1sGl0cR-urX9vFvO-o,Vorbereitet
Restaurant Jamas,ChIJmeHrOh4Hl0cRXxLKIQWOgbo,https://search.google.com/local/writereview?placeid=ChIJmeHrOh4Hl0cRXxLKIQWOgbo,https://www.google.com/maps/search/?api=1&query=Restaurant%20Jamas&query_place_id=ChIJmeHrOh4Hl0cRXxLKIQWOgbo,Vorbereitet
